Game,Min RTP %,Max RTP %
Fruits Mania,96.59,96.59
Hades River of Souls,96.56,96.56
Space Conquest,96.55,96.55
Wolf Moon Rising,96.53,96.53
Fiery Sevens Exclusive,96.52,96.52
Jokers Treasure Exclusive,96.52,96.52
Event Horizon,96.51,96.51
Cash Kingdom,96.51,96.51
A Big Catch â€“ HOLD & WINTM,96.50,96.50
Double Flame,96.50,96.50
Candy Pop 2,96.49,96.49
Crazy Scientist 2,96.49,96.49
Book of Darkness,96.48,96.48
Shining Princess Rapid Link,96.48,96.48
GEMMED!,96.46,96.46
Rolling Rex,96.46,96.46
Heros,96.45,96.45
Wild Buffalo: Fortune Wheel Bonus Buy,96.43,96.43
Super Golden Dragon Inferno,96.43,96.43
Wild Buffalo Fortune Wheel,96.43,96.43
Grand Koala Hold'N'Link,96.43,96.43
Legacy Of Kong Maxways,96.42,96.42
Sugar Pop 2,96.42,96.42
Fruit Mojo,96.41,96.41
Fruit Diamonds - Hold & Win,96.41,96.41
Golden Dragon Inferno,96.41,96.41
Three Samurai,96.41,96.48
Katana Klash Hold'N'Link,96.41,96.41
Under the Sea,96.40,96.40
Elven Princesses,96.40,96.40
Sugar Party,96.40,96.40
Hit in Vegas,96.40,96.40
Snoop's High Rollers,96.39,96.39
8 Pool Stars,96.39,96.39
Stacked,96.39,96.39
Golden Tree,96.38,96.38
Gorilla Rapid Link,96.37,96.37
Crazy Bomber,96.36,96.36
Vegas Gold,96.36,96.36
Rise of Triton,96.35,96.35
Pelican`s Bay Rapid Link,96.35,96.35
Lucky Lucifer,96.35,96.35
Soccermania,96.34,96.34
Tumblin' Dublin,96.34,96.34
Luck of Panda: Bonus Combo,96.33,96.33
Wilds Of Fortune,96.33,96.33
Cleo's Heart,96.32,96.32
Osiris Gold Hold'N'Link,96.32,96.32
Heat Hit Hold'N'Link,96.31,96.31
Dragon Sevens,96.31,96.31
Frosty Fruits,96.31,96.31
Luxor Relics Hold'N'Link,96.31,96.31
Fishing Mania,96.30,96.30
Rags to Witches NJP,96.30,96.30
Safari Sam 2,96.30,96.30
Fu Yin Yang Hold'N'Link,96.30,96.34
Bounding Luck,96.28,96.28
Captainâ€™s Quest Treasure Island,96.28,96.28
Fortune Skulls,96.28,96.28
The Exterminator,96.27,96.50
Merlinâ€™s Fortune,96.27,96.27
Red Hot Chili 7s,96.27,96.27
Royal Fruits 9 Hold 'n' Link,96.26,96.26
Fortune Skulls Bonus Buy,96.26,96.26
Mighty Stars,96.26,96.26
Tycoons: Billionaire Bucks,96.26,96.26
Diamond Shot,96.26,96.26
Rubber Duck: Hold 'N' Link,96.26,96.26
Paddy's Payouts,96.25,96.33
Money Temple,96.25,96.25
Prospector's Plinko,96.24,96.28
Destino Das Almas,96.24,96.24
Road 2 Riches,96.24,96.24
Cash Vaults Hold'N'Link,96.24,96.24
Aladdin's Chest,96.24,96.24
Shadow Summoner Egypt,96.23,96.23
Medallion,96.23,96.23
Hat Trick Hero,96.23,96.23
Luck & Magic,96.23,96.23
Fortune Llama Hyper Heist,96.22,96.22
Carnaval Forever,96.22,96.63
Wild Buffalo Hold 'N' Link Bonus Buy,96.22,96.22
Wild Buffalo Hold'N'Link,96.22,96.22
Wild Buffalo,96.22,96.22
Carnival Cat,96.21,96.21
Thai Blossoms,96.21,96.21
Stay Frosty!,96.21,96.21
Power of Zorro,96.21,96.21
Hellfire Joker,96.20,96.20
April Fury and the Chamber of Scarabs,96.20,96.20
Astro Cash,96.20,96.20
Neon Dreams,96.20,96.20
Enchanted: Forest of Fortune - Hold & Win,96.20,96.20
Mystery Dragons,96.20,96.20
Shamrock Cash,96.20,96.20
Inferno Fruits,96.20,96.20
Elephant's Gold Buy Bonus Combo,96.19,96.19
Fruit Smash,96.19,96.19
Sleighin' It,96.19,96.19
Robbin' the Rich,96.19,96.19
COINS OF RA,96.18,96.18
COINS OF ALKEMOR â€“ HOLD & WIN,96.18,96.18
Lucky Oak,96.17,96.17
Lucky Dama Muerta,96.16,96.16
Sands Of Eternity,96.16,96.16
Vulcan's Gold,96.16,96.16
Cash Pandas,96.16,96.16
Hot As Devil Hold 'N' Link,96.16,96.16
Buffalo Cash Pool,96.16,96.16
Big Banker Bonanza,96.15,96.15
Poker Dogs,96.15,96.15
Royal High-Road,96.14,96.14
Easter Heist,96.14,96.14
Dragon Age Hold & Win,96.14,96.14
Galaxy Glitter,96.13,96.13
Sharky Frenzy,96.13,96.13
Budai Reels,96.13,96.13
Three Piglets,96.13,96.13
Hot Mania,96.13,96.13
Gold Canyon,96.13,96.13
Shark Frenzy,96.13,96.13
Miss Cherry Fruits,96.13,96.13
Hearts Desire,96.13,96.13
Green Hat Magic,96.12,96.12
Viking Voyage,96.12,96.12
Ranch Life,96.12,96.12
Halloween Harvest: Rapid Link,96.11,96.11
Wild Drops,96.11,96.11
Jungle 2,96.11,96.11
Cai Shen's Palace Hold 'N' Link,96.10,96.10
Ragnarok,96.10,96.12
Gold Magnate,96.10,96.10
WildFire,96.10,96.10
777 Jackpot Diamond Hold and Win,96.10,96.10
Cats Blessing,96.10,96.10
Hot Triple Sevens,96.10,96.10
Coins of Thor - Hold & Win,96.10,96.10
Forty Fruity Million,96.10,96.10
Wins of Nautilus,96.10,96.10
Gem Rush,96.10,96.80
Primal Hunt,96.10,96.10
Rich Piggies Bonus Combo,96.10,96.10
Pompeii Gold Rapid Link Bonus Buy,96.10,96.10
Fruit Cash Hold'N'Link,96.10,96.10
Sands of Eternity 2,96.10,96.40
Lotus Fortune,96.10,96.10
The One Armed Pirate,96.10,96.10
Book Of Nile Lost Chapter,96.10,96.10
Book Of Nile Magic Choice,96.10,96.10
Book Of Nile Revenge,96.10,96.10
Luck of Tiger Bonus Combo,96.09,96.09
Ice Mania,96.09,96.09
Brew Brothers,96.09,96.09
Tower of Fortuna,96.09,96.09
Money Jar,96.09,96.09
San Chong Baozha Blue: Bonus Combo,96.08,96.08
Budai Reels Bonus Buy,96.08,96.08
Roman Rule,96.08,96.08
Money Minter Bonus Buy,96.08,96.08
Take The Bank,96.08,96.08
Super Fruit Smash,96.08,96.08
Phoenix Queen: Hold 'N' Link,96.08,96.08
Thunder Wheel,96.08,96.08
Phoenix Queen Hold'N'Link,96.08,96.08
Frontier Falcon: Hold 'N' Link,96.07,96.07
The Hive,96.07,96.07
Royale Vegas,96.07,96.07
Gift Rush,96.07,96.07
Captain Lobster,96.06,96.06
Return to Paris,96.06,96.06
Woodlanders,96.06,96.06
Mr. Vegas 2: Big Money Tower,96.06,96.06
Hot Triple Sevens Special,96.05,96.05
Big Catch Bonanza Perfect Haul,96.05,96.05
Big Catch Bonanza Bonus Buy,96.05,96.05
Big Catch Bonanza,96.05,96.05
Bonbon Bonanza,96.04,96.24
Double Up Respin,96.04,96.04
Mega Juicer 6,96.04,96.04
Mega Fruit 40,96.04,96.04
Winds of Wealth,96.04,96.04
Explorer's Gold Cash Blast,96.04,96.04
Juicy Gems Bonus Buy,96.03,96.03
Outlaws,96.03,96.03
Sizzling Super Sevens,96.03,96.03
Mega Greatest Catch Bonus Buy,96.03,96.03
Fruit Fantasy 100,96.03,96.03
Fruit Super Nova,96.03,96.03
Lucky Fruit Spins Bonus Buy,96.03,96.03
Mega Fruit 100,96.03,96.03
Fruit Fantasy Hold and Win,96.03,96.03
Faerie Spells,96.03,96.03
Vikings Creed,96.03,96.03
Wild Buffalo Rapid Link,96.03,96.03
Tiki Island Hold 'N' Link,96.03,96.03
Bulls Club,96.02,96.02
Triple Chili,96.02,96.02
Sizzling Sevens Special,96.02,96.02
Fishing Kingdom Remastered,96.02,96.02
Fishing Kingdom,96.02,96.02
Easter Totems,96.02,96.02
Jackpot Sevens,96.02,96.02
Rich Piggies 2: Bonus Combo,96.01,96.01
Money Hive 50 Hold'N'Link,96.01,96.01
Dragon & Phoenix,96.01,96.01
Green Hat Tale,96.01,96.01
Inner Fire,96.01,96.01
Hot Volcano,96.01,96.01
Thunder Clash,96.00,96.00
Fortuna Gold,96.00,96.00
Fruit Nova,96.00,96.00
Gold Gold Gold 5000,96.00,96.00
Inner Fire Bonus Buy,96.00,96.00
Hot Volcano Bonus Buy,96.00,96.00
Venice Festival,96.00,96.00
Power of Zeus,96.00,96.00
Belfry Bliss,96.00,96.00
Mega Diamonds Hunt,96.00,96.00
Coin Forge Bonus Buy,96.00,96.00
Aztec Magic Bonanza,96.00,96.00
Coin Forge,96.00,96.00
Bonanza Billion,96.00,96.00
Lucky Farm Bonanza,96.00,96.00
Young Wolf Song,96.00,96.00
Clover Bonanza,96.00,96.00
Ocean Catch Bonus Buy,96.00,96.00
Beer Bonanza,96.00,96.00
Sizzling Sevens,96.00,96.00
Alien Fruits,96.00,96.00
7 Fortune Frenzy,96.00,96.00
Bone Bonanza,96.00,96.00
Hottest 666,96.00,96.00
24 Stars Dream,96.00,96.00
Fortune Llama,96.00,96.00
Hot as Hell,96.00,96.00
88 Frenzy Fortune,96.00,96.00
Clover Shot,96.00,96.00
Pompeii Gold Rapid Link,96.00,96.00
Good Luck Spell,95.99,95.99
Joker Juicer 6,95.99,95.99
Pyro Joker,95.99,95.99
Fruit Fantasy 40,95.99,95.99
Mega Juicer 5,95.99,95.99
Coin Forge Magnetic,95.99,95.99
Lava Gold,95.99,95.99
The Greatest Catch Bonus Buy,95.98,95.98
Candy Luck,95.98,95.98
Coin Galactic,95.98,95.98
Juicy Triple Bonus,95.98,95.98
Lucky Crew,95.98,95.94
Golden Dragon Hold 'N' Link,95.98,95.98
Penny Pelican,95.98,95.98
Wild Double Up,95.97,95.97
Book of Plenty,95.97,96.08
Dice Bonanza,95.97,96.03
Trinity Reels,95.96,95.96
Boomanji,95.96,95.96
Bunny's Bounty Hold'N'Link,95.95,95.95
Diamonds Hunt,95.95,95.95
Dragon Balls,95.95,96.10
Elephant's Gold Bonus Combo,95.95,95.95
Money Hive Hold'N'Link,95.95,95.95
African King Hold'N'Link,95.95,95.95
Charming Gold Hold'N'Link,95.95,95.95
Ultra Hot Sevens,95.94,95.94
Yak, Yeti and Roll,95.93,95.93
Lucky Oasis,95.90,95.90
Thunder Mega Sevens Bonus Buy,95.90,95.90
Immortal Treasures,95.90,95.90
Gamblelicious Hold and Win,95.90,95.90
Candy Craze,95.89,95.89
Just Gems Hold'N'Link,95.88,95.88
Dolphin Queen Hold'N'Link,95.85,95.85
Spring Tails,95.84,95.84
Halloween Bonanza,95.84,95.84
Hot Cash Hold'N'Link,95.84,95.84
Desert Riches Hold'N'Link,95.84,95.84
Merry Cash Splash,95.84,95.84
Squid Slot,95.84,95.84
Star Kingdom,95.83,95.83
Temple of Thunder II Bonus Buy,95.82,95.82
Ultra Coin Magnetic Bonus Buy,95.81,95.81
Bang Bang Reloaded,95.80,95.80
Lightning Blitz: Chain Collect,95.80,95.80
Spinfinity Man,95.80,95.80
Miss Rainbow - Hold and Win,95.80,95.80
Charms & Treasures,95.80,95.80
Money Jar 2,95.80,95.80
Royal Fruits 5 Hold'N'Link,95.80,95.80
Gemstone Guardians,95.77,95.77
Joker Jackpots: Prize Mania,95.77,95.77
Cash Inferno: Sizzling Scatters,95.77,95.77
Dystopia: Rebel Road,95.76,95.76
5 Rings of Darkness,95.76,95.81
The Big Game Hold'N'Link,95.75,95.75
Cash Link Express: Hold & Win,95.74,95.86
Caishenâ€™s Arrival,95.74,95.74
Raging Zeus,95.72,95.72
Thunder Hog Chaos Reels,95.72,95.87
Kawaii Princess,95.71,95.82
Shaolin Panda Chaos Reels,95.71,95.82
Jackpot Heist: Daylight Robbery!,95.71,95.80
777 Hot Reels,95.71,95.71
Golden Suns: Chain Collect,95.71,95.71
Serpent Gold Coins,95.70,95.70
Boogie Boom,95.70,95.80
Crack the Bank Hold and Win,95.70,95.70
Legends: Battle for Earth,95.70,95.85
Wild West Buffalo Blast,95.70,95.70
Bandits Bounty,95.65,95.65
Legend Of The Nile,95.62,95.63
Genie's Fortune,95.61,95.61
Gemini Joker,95.61,95.61
Legendary Diamonds,95.60,95.60
Power of Olympus,95.60,95.60
The Mighty Toro,95.60,95.60
Power of Rome,95.60,95.60
Book of Helios,95.58,95.58
Diamond Hits,95.50,95.50
Jesters Riches,95.50,95.50
Ronaldinho Spins,95.50,95.50
Ultimate Hold 'N' Win,95.50,95.50
Buffalo Hold and Win Extreme,95.50,95.50
Secrets of Anubis,95.50,95.50
Take Olympus,95.49,95.49
Flaming Chillies,95.48,95.48
Sweet Spotz,95.48,95.48
Mice & Magic Wonder Spin,95.48,96.93
Diamond Riches,95.47,95.47
Alkemorâ€™s Elements,95.45,95.45
Book of Tombs,95.42,95.42
Mechanical Clover,95.42,95.42
Secret Book of Amun Ra,95.40,95.40
The Wild Wings of Phoenix,95.40,95.40
The Chillies,95.40,95.40
Chilli Pop,95.38,95.38
Lost: Mystery Chests,95.37,95.37
Gold Tiger Ascent,95.37,95.37
Great 88,95.36,95.36
B.U.C.K.S,95.32,95.32
Book Of Nile Hold'N'Link,95.32,95.32
Stampede Bonanza,95.30,95.30
Domnitor's Treasure,95.30,95.30
4 Seasons,95.30,95.30
Fruit Burst,95.30,95.30
Fa-Fa Twins,95.29,95.29
Primal Wilderness,95.28,95.28
Stampede,95.25,95.25
God of Wealth Hold And Win,95.24,95.24
Fortune Cash,95.24,95.24
Fruit Bat Crazy,95.22,95.22
Dragon Kings,95.20,95.20
Tiger's Claw,95.16,95.16
Take The Shot,95.14,95.14
Kensei Blades,95.12,95.12
Cash Pig,95.11,95.11
Treasure Vault,95.10,95.10
Fortune & Finery,95.10,95.10
The Golden Owl of Athena,95.05,95.05
FaFaFa,95.05,97.10
Super Sweets,95.03,95.03
Blood Eternal,95.03,95.03
Dancing Lanterns 2,95.02,95.02
Dancing Lanterns,95.02,95.02
Wicked Wanda,95.00,95.00
Book of Wealth ll,95.00,95.00
Golden Mine,95.00,95.00
Eternal Dynasty,95.00,95.00
Goldie at Oktoberfest,95.00,95.00
Cash Legion,95.00,95.00
Santa the Slayer,95.00,95.00
Fruityliner Joker,95.00,95.00
Fire Fruits Fusion,95.00,95.00
Epic Tower,95.00,95.00
Fruityliner X,95.00,95.00
Monkey King: Path of Treasure,95.00,95.00
Caishen Gold: Dragon Awakes,95.00,95.00
Buffalo Goes Wild,95.00,95.00
Era of Jinlong,95.00,95.00
Coco Tiki,95.00,95.00
Superb Cup,95.00,95.00
Lucky Foxglove,95.00,95.00
Draco's Gold,95.00,95.00
Cherry Bombs,95.00,95.00
Book of Runes,95.00,95.00
Juicy Fever,95.00,95.00
Gemblitz Bonanza,95.00,95.00
Fruits and Bombs,95.00,95.00
Neon Light Fruits,95.00,95.00
Mancala Quest,95.00,95.00
Majestic Wolf,95.00,95.00
Asgard Legends,95.00,95.00
Code of Fortune,95.00,95.00
BarsAndBells,95.00,95.00
Candy Clash,95.00,95.00
CoinSpin Fever,95.00,95.00
Buccaneer Royale,95.00,95.00
Rumble Masters,95.00,95.00
Portal Master,95.00,95.00
Mariachi Afortunado,95.00,95.00
Spirit of the Lake,95.00,95.00
Catch 'n Cash,95.00,95.00
Hot Fruits on Fire,95.00,95.00
Fruit Factory,95.00,95.00
777 Vegas Showtime,95.00,95.00
Record Breaker,95.00,95.00
Astro Jewels,95.00,95.00
Seth vs Horus,95.00,95.00
Money Pipe,95.00,95.00
Bounty Chasers,95.00,95.00
Book of Wealth,95.00,95.00
Fruityliner 100,95.00,95.00
Fruityliner 5,95.00,95.00
Fruityliner 40,95.00,95.00
Reel Reel Hot,95.00,95.00
Fruit collector,95.00,95.00
Mighty Egypt Riches,95.00,95.00
The Twin Wins Mystery,95.00,95.00
Monster Thieves,95.00,95.00
Hot Fruits on Ice,95.00,95.00
Wild Velvet,95.00,95.00
Seance: Mysterious Attic,95.00,95.00
Weekend In Vegas,95.00,95.00
Jumbo Joker,95.00,95.00
Indianas Quest,94.90,94.90
Book of Kemet,94.82,94.82
Eagle Gold,94.75,94.75
Lucky Otter,94.65,94.65
Magic Shoppe,94.58,96.85
Wicked Kitty,94.53,94.53
Royal Fruits 20,94.53,94.53
Fortune Fish Frenzy: Bonus Combo,94.50,96.13
Payday Express,94.46,94.46
Cirlce of Sylvan,94.41,96.38
Divine Dynasty: Princess,94.36,94.36
Black Gold,94.31,94.31
Drunken Sailors,94.30,96.14
Prometheus Titan of Fire,94.26,94.26
Luke E. Chance and the Book of Luck,94.24,96.21
Cloud Corsairs,94.24,96.34
Jokers Invasion,94.20,94.20
Gold Pigger,94.20,96.10
Gemhalla,94.14,97.17
Raging Riches,94.11,96.08
Pirate Plunder,94.07,94.07
Candy Monsta,94.06,94.06
Super Hot Stacks,94.05,96.04
Lucky Fishing,94.03,94.03
Wish Granted,94.01,94.01
Caravan Of Riches,94.00,96.03
Wild Safari,94.00,94.00
Lucky Fruit Spins,93.98,93.98
Sizzling Sevens Hold and Win,93.95,93.95
777 Jackpot Diamond Hold and Win Deluxe,93.91,93.91
Wolf Reels Rapid Link,93.80,93.80
Rook's Revenge,93.66,94.54
Mamma Mia,93.46,93.46
Rock'n Reel,93.38,93.38
Barbary Coast,93.20,93.20
72 Fortunes,92.83,92.83
Stampede Gold,92.58,96.62
Super Sugar Pop - Hold & Win,92.48,96.50
Take the vault,92.44,96.21
Tigerâ€™s Luck â€“ HOLD & WIN,92.38,96.52
Golden Destiny - Hold & Win,92.25,96.56
Hot Lucky 7's,92.23,95.84
Cactus Riches Cash Pool,92.17,92.17
Heist: Bank Rush - Hold & Win,92.12,96.20
CAISHEN GOD of FORTUNE,92.06,96.21
Rockstar WT,92.05,96.62
Mega Fruit 20,92.02,92.02
Dr. Jekyll & Mr. Hyde,92.00,96.00
Rapid Strike,92.00,92.00
ChilliPop: Get Em All - Hold & Win,91.98,96.55
ZEUS,91.95,91.95
2 Million B.C.,91.94,91.94
Pho Sho,91.86,96.20
The Slotfather Book of wins,91.85,96.60
Slot Machine,90.00,90.00
Ocean Party,90.00,90.00
Aztec Bonus Pot,89.90,89.90
9 Jokers Stick and Spin,89.43,96.38
Egypt Bonus Pot,89.27,96.17
Vegas Payouts Rapid Hold & Win,89.26,96.33
Expanding Joker,89.24,89.24
Lobster Hotpot 2: Even Hotter,89.15,96.03
Luke E. Chance and the Inca Sun God,89.15,96.19
Mighty Mammoth,89.15,96.40
Golden Dragon Wealth,89.12,96.29
Lobster Hotpot,89.09,96.24
Aztec Clusters,89.00,97.00
Shadow Summoner Elementals,86.00,96.31
Diamonds Expand,85.05,98.05
Birds,85.00,99.00
Mighty Crash,0.00,0.00
Mardi Gras: Hold 'N' Link,0.00,0.00
Eggsponential,0.00,0.00
Golden End Zone,0.00,0.00
Thunder Fishing,0.00,0.00
Buffalo Wealth - Hold & Win,0.00,0.00
Pepper Mania,0.00,0.00
Zero Day,0.00,0.00
Wild Woof,0.00,0.00
JÄ«n YÃ¹n MÇŽn MÇŽn,0.00,0.00
Book of Reels,0.00,0.00
Captain Golds Fortune,0.00,0.00
Triple Panda,0.00,0.00
Expansion,0.00,0.00
Galaxy Fishing,0.00,0.00
Searing 7s,0.00,0.00
Vegas Riches,0.00,0.00
Double Bucks,0.00,0.00
Candy Heroes,0.00,0.00
Ice & Fire Fishing,0.00,0.00
Texas Riches,0.00,0.00
Chichen Itza,0.00,0.00
Farmer Bill,0.00,0.00
Glamorous Cats,0.00,0.00
