Game,Min RTP %,Max RTP %
Sweet Kingdom,96.53,96.53
Juicy Fruits,96.52,96.52
Hot Chilli,96.52,96.52
Spirit of The Beast,96.52,96.71
Triple Tigers,96.52,96.52
Treasure Horse,96.52,96.52
Fairytale Fortune,96.52,96.52
Aztec Gems,96.52,96.52
Macau Beauties,96.52,96.52
Buffalo King Megaways,96.52,96.52
Vegas Hotties,96.52,96.52
Fiery Sevens Exclusive,96.52,96.52
Elemental Gems Megaways,96.51,96.51
Emerald King,96.51,96.51
Revenge of Loki Megaways,96.51,96.51
The Dog House Dice Show,96.51,96.51
Gold West,96.51,96.51
Jokers Treasure,96.51,96.51
Voodoo Magic,96.50,96.50
Mysterious,96.50,96.50
Madame Destiny,96.50,96.50
Starlight Princess,96.50,96.50
Chilli Heat Megaways,96.50,96.50
Super 7s,96.50,96.50
Colossal Cash Zone,96.50,96.50
Joker's Jewel Dice,96.50,96.50
Release The Kraken,96.50,96.50
Greek Gods,96.50,96.50
3 Secret Cities,96.50,98.00
Cash Patrol,96.50,96.50
Pirate Gold,96.50,96.50
Fruit Party,96.50,96.50
Gates of Olympus,96.50,96.50
Pyramid King,96.50,96.50
Egyptian Fortunes,96.50,96.50
Dance Party,96.50,96.50
Medusa Money,96.50,96.50
Chilli Heat,96.50,96.50
Hercules And Pegasus,96.50,96.50
Monkey Warrior,96.50,96.50
Aztec Gems Deluxe,96.50,96.50
John Hunter and the Book of Tut,96.50,96.50
John Hunter and the Aztec Treasure,96.50,96.50
Book of Destiny,96.50,96.72
Big Bass Bonanza - Reel Action,96.50,96.50
6 Wild Sharks,96.50,97.00
Multiplier Odyssey,96.50,96.50
Peking Luck,96.50,96.50
4 Deals with the Devil,96.50,96.50
Sugar Rush Xmas,96.50,96.50
5 Frozen Charms Megaways,96.50,96.50
Magician's Secrets,96.50,96.51
Joker's Jewels,96.50,96.50
Gold Party,96.50,96.50
Fire Strike ,96.50,96.50
Joker King,96.50,96.50
Fishin' Bear,96.50,96.50
Honey Honey Honey,96.50,96.50
Starlight Princess 1000,96.50,96.50
Badge Blitz,96.50,96.50
Sweet Bonanza Dice,96.49,96.49
Day of Dead,96.49,96.49
Might of Ra,96.49,96.49
Dragon Ladies,96.49,96.49
 3 Coin Volcanoes,96.49,96.49
Pirate's Booty,96.49,96.49
Lady Phoenix,96.49,96.49
Book of Riches Deluxe,96.49,96.49
Christmas Fortune,96.49,96.49
Book of Riches Deluxe Chapter 2,96.49,96.49
Brilliant Gems,96.49,96.49
Loco Habanero,96.49,96.49
Caveman Bob,96.49,96.49
Viking Crusade,96.49,96.49
Wild Pixies,96.48,96.48
Starz Megaways,96.48,96.48
Master Chen's Fortune,96.48,96.48
Asgard,96.48,96.48
Master Chen's Fortune,96.48,96.48
Shake Shake Leprechaun,96.48,96.48
Master Chen's Fortune,96.48,96.48
Sweet Bonanza Xmas,96.48,96.51
Master Chen's Fortune,96.48,96.48
Master Chen's Fortune,96.48,96.48
Master Chen's Fortune,96.48,96.48
Tropical Pop Jackpot Play,96.48,96.48
Diamond Strike,96.48,96.48
Quest of Gods,96.48,96.48
Shake Shake Christmas,96.48,96.48
Shake Shake Money Tree,96.48,96.48
Arcane Beauties,96.48,96.48
Golden Forge,96.48,96.48
Jewel Rush,96.47,96.47
Space Miners,96.47,96.47
J Mania Golden Eggs,96.47,96.47
Wild Booster,96.47,96.47
Christmas Carol Megaways,96.47,96.58
Ancient Egypt,96.47,96.47
Jade Butterfly,96.47,96.47
Royal Griffin,96.47,96.47
Ancient Egypt Classic,96.47,96.47
Jurassic Party,96.47,96.47
Madame Luck,96.47,96.47
Reel All-Stars,96.47,96.47
Mayan Cache,96.47,96.47
Tiki Blaze,96.47,96.47
Master Joker,96.46,96.46
Gates of Valhalla,96.46,96.60
Fruits \u0026 Jokers: 100 lines,96.46,96.46
Leprechaun Song,96.46,96.46
Volcano Rising,96.46,96.46
Drill That Gold,96.45,96.49
Thunder of Olympus,96.45,96.45
Barn Festival,96.45,96.45
Wild Beach Party,96.45,96.53
Holy Hand Grenade,96.45,96.82
Tree of Riches,96.45,96.45
Heroes' Gathering,96.45,96.45
Egyptian Sun,96.44,96.44
Grand Mariachi,96.44,96.44
Plunderland,96.43,97.14
Yum Yum Powerways,96.43,96.43
Grand Express Fiesta,96.43,96.43
Hex,96.43,96.43
ZapOtec Gold,96.43,96.43
Plunderland,96.43,97.14
Extra Juicy Megaways,96.42,96.48
Amazing Money Machine ,96.42,96.42
Alice In The Wild,96.42,96.42
Wild West Gold Megaways,96.41,96.45
Three Samurai,96.41,96.48
Kingdom of Atlantis Jackpot Play,96.41,96.41
Congo Cash XL,96.41,94.48
Chip Spin,96.41,96.74
Stampede Rush Speedy Santa,96.41,96.41
Stampede Rush Wicked,96.41,96.41
Sword of Ares,96.40,96.40
Money Train 2,96.40,96.40
123 Boom!,96.40,96.40
Elven Princesses,96.40,96.40
Blazing Tiger,96.40,96.40
Cluster Tumble,96.40,96.40
Slingo Fire \u0026 Ice,96.40,96.40
Clovers of Luck,96.40,96.40
Sugar Party,96.40,96.40
Gems of Serengeti,96.40,96.40
Mayan Blaze,96.40,96.40
Mucho Loco Habanero,96.39,96.39
Snoop's High Rollers,96.39,96.39
Dr. Frankenstein,96.39,96.39
More Dragon Ladies,96.39,96.39
Ignite The Night,96.39,96.39
5 Monsters,96.38,96.38
Almighty Kingdom Fall,96.38,96.38
Safari King,96.37,96.49
Sugar Rush Fever,96.37,96.37
Bamboo Fortune,96.37,96.37
Native Spirit,96.37,96.37
8 Dragons,96.37,96.37
Go High Panda,96.37,96.37
Go High Gallina,96.37,96.37
Queen of Gods,96.36,96.38
Shining Hot 40,96.36,96.36
Crystal Golem,96.36,96.36
Troll's Gold,96.36,96.36
Shining Hot 40 Jackpot Play,96.36,96.36
Vegas Gold,96.36,96.36
Crazy Bomber,96.36,96.36
Wild Chapo,96.36,97.00
Lucky Lucifer,96.35,96.35
Attila The Hun,96.35,96.35
Arabian Secret,96.34,96.34
Shining Hot 5,96.33,96.33
Shining Hot 20,96.33,96.33
African Cats,96.33,96.33
Diamond Explosion Patriots,96.33,96.33
Shining Hot 5 Jackpot Play,96.33,96.33
Shining Hot 20 Jackpot Play,96.33,96.33
Shining Hot 100 Jackpot Play,96.32,96.32
Shining Hot 100,96.32,96.32
Pine of Plinko 2,96.32,96.32
Beast Mode,96.32,96.32
Gummy Giga Match,96.32,96.32
Sevens\u0026Fruits,96.31,96.31
J Mania Diamonds,96.31,96.31
Go High Fruit,96.31,96.31
Go High Olympus,96.31,96.31
J Mania Turkey Chef,96.31,96.31
Royal Potato,96.31,96.31
Devil Hot as Hell,96.31,96.31
Blazing Wins: 5 Lines,96.31,96.31
The Great Stick-up,96.30,96.30
Hellcatraz,96.30,96.88
Mad Hit BearHaus,96.30,96.30
Smoking Hot Fruits,96.30,96.30
Immortal Ways Spooktacular,96.30,96.30
Tarasque,96.30,96.30
Dragon 8s 25x,96.30,96.30
Fishing Mania,96.30,96.30
Dead Man's Trail,96.29,98.00
Platinum Lightning Deluxe,96.29,96.29
Cash Defense,96.29,97.33
Hazakura Ways,96.29,97.00
Platinum Lightning,96.29,96.29
Immortal Ways Buffalo SE,96.29,96.29
Immortal Ways Diamonds,96.29,96.29
Immortal Ways Buffalo,96.29,96.29
Gallantry,96.29,96.29
Immortal Ways 88 Charms,96.29,96.29
Ten Ton Ways Goldfish,96.29,96.29
Immortal Ways Pinata,96.29,96.29
Immortal Ways Lady Moon,96.28,96.28
Immortal Ways Sweet Coin,96.28,96.28
Immortal Ways Champions,96.28,96.28
The Dragon Tiger,96.27,96.27
Merlin's Fortune,96.27,96.27
Santa's Stack,96.27,96.27
Mad Hit Marlin Bonanza,96.27,96.27
Helios Fury,96.27,97.00
Mad Hit Oasis,96.27,96.27
Mad Hit Hidden Cities,96.27,96.27
Fire Hot 5 Jackpot Play,96.27,96.27
Templar Tumble,96.26,96.26
Wild Thirst,96.26,96.26
Royal Potato 2,96.26,96.26
Alice in Adventureland,96.26,96.30
Wild Thirst,96.26,96.26
Gangsterz,96.25,96.25
King of Kings,96.25,96.25
Star Blitz,96.25,96.25
Pop Zen,96.25,96.25
Snake Arena,96.25,96.25
Lobster Hot Pot,96.24,96.24
Rio Pleasures,96.24,96.24
Tiger Kingdom Infinity Reels,96.23,96.23
Aladdin And The Sorcerer,96.23,96.23
Volatile Vikings,96.23,96.23
Shadow Summoner Egypt,96.23,96.23
Luck and Magic,96.23,95.99
Sheerluck,96.22,96.22
Fortune Llama Hyper Heist,96.22,96.22
The Big Hit,96.21,96.21
Burning Wins: classic 5 lines,96.21,96.21
Mega Masks,96.21,96.61
Tipsy Charms,96.21,96.21
Burning Fortunator,96.21,96.21
Chained Fighters,96.21,96.21
Pirate Kingdom Megaways,96.20,96.20
CherryPop,96.20,96.20
Hellfire Joker,96.20,96.20
Neon Dreams,96.20,96.20
Money Train,96.20,96.20
3 China Pots,96.20,96.20
Iron Bank,96.20,96.20
Mega Flip,96.20,96.20
Dead Riders Trail,96.20,96.50
Wheel of Time,96.20,96.20
Midnight Marauder,96.19,96.19
Mega Heist,96.19,96.50
Firewins Factory,96.19,96.19
La Fiesta,96.19,96.55
Fruit Smash,96.19,96.19
Gnomes and Giants,96.19,96.37
Treasure Snipes,96.18,96.18
Immortal Empress,96.18,96.18
Coin Quest 2,96.18,96.18
Panda's Fortune,96.17,96.17
Wild Gladiators,96.17,96.17
StarSpell,96.17,96.17
Horror Hotel,96.17,96.17
Sails of Fortune,96.17,96.65
Lucky Dama Muerta,96.16,96.16
Sands of Eternity,96.16,96.16
Beanstalk Grows Wild,96.16,96.16
Vulcan's Gold,96.16,96.16
Blender Blitz,96.16,96.16
Europe Transit,96.15,96.15
Ramses Revenge,96.15,96.15
Mega Mine,96.15,97.00
Frequent Flyer,96.14,96.14
Tikiz 'N' Juice,96.14,96.57
Let's get ready to Rumble,96.14,96.14
Darkness,96.14,96.79
Dragon Age Hold \u0026 Win,96.14,96.14
Adrenaline Rush: Super Boost,96.14,96.14
Hot Mania,96.13,96.13
Miss Cherry Fruits,96.13,96.13
Budai reels,96.13,96.13
Shark Frenzy,96.13,96.13
Banana Town,96.12,96.12
Cycle of Luck,96.12,96.12
Green Hat Magic,96.12,96.12
20 Mega Fruit,96.12,96.12
Book of Power,96.11,96.11
Sloth Tumble,96.11,96.11
Arriba Heat,96.11,96.11
Prospector Wilds Hold and Win,96.11,96.11
Wolf Strike Hold \u0026 Win,96.11,96.11
TNT Tumble,96.11,96.11
Chilli Bandits,96.11,96.11
Tower Tumble,96.11,96.11
Burning Classics,96.10,96.10
Net Gains,96.10,96.50
Torii Tumble,96.10,96.50
Wild Chapo 2,96.10,96.50
Hot Triple Sevens,96.10,96.10
Joker Split,96.10,96.10
Epic Dreams,96.10,96.10
Midnight Show,96.10,96.10
Bill \u0026 Coin,96.10,96.10
Top Dawg$,96.10,96.10
Quackin' Reels,96.10,96.10
Cat's Blessing,96.10,96.10
TNT Bonanza 2,96.10,96.10
Coins of Thor - Hold \u0026 Win,96.10,96.10
Catch The Wind,96.10,96.10
Money Train 3,96.10,96.50
The Tumbles,96.10,96.10
Forty Fruity Million,96.10,96.10
Wildfire,96.10,96.10
Gem Rush,96.10,96.80
Wins of Nautilus,96.10,96.10
Sands of Eternity 2,96.10,96.40
Gold Magnate,96.10,96.10
Howling For Gold,96.10,96.10
Book Hotfire Multichance,96.10,96.10
Train to Rio Grande,96.10,96.10
Wild Hike,96.09,96.54
The Greatest Catch,96.09,96.09
Brew Brothers,96.09,96.09
Titan Strike,96.09,96.50
Money Jar,96.09,96.09
Ice Mania,96.09,96.09
Snakes \u0026 Ladders - Snake Eyes,96.08,96.08
Club Tropicana,96.08,96.08
Cowboy Coins,96.08,96.08
Vegas Magic,96.08,96.08
Pirate Multi Coins,96.08,96.08
Johnny Coin,96.08,96.08
Super Fruit Smash,96.08,96.08
Roman Rule,96.08,96.08
Thunder Wheel,96.08,96.08
Xmas Spark,96.08,96.08
Solar Nova Megaways,96.08,96.08
Crimson Hippo,96.08,96.08
Dreadworks,96.08,96.08
Santa's Village,96.07,96.07
Big Bass - Hold \u0026 Spinner,96.07,96.07
X Demon,96.07,96.07
Gift Rush,96.07,96.07
Wolf Saga,96.06,96.06
Northern Temple,96.06,96.06
Dark King,96.06,96.06
Buffalo King,96.06,96.06
Big Bass Halloween,96.06,96.06
Shark Wash,96.06,96.50
Old West,96.05,96.05
Vegas Nights,96.05,96.05
Hot Triple Sevens Special,96.05,96.05
Jhana of God,96.05,96.05
Super Hot Chilli,96.05,96.52
Lucky Card,96.05,96.05
Lucy Luck and the Temple of Mysteries,96.05,96.38
African Elephant,96.04,96.04
Rocket Stars,96.04,96.04
Fruit Super Nova 40,96.04,96.04
Witchy Poppins,96.04,96.04
Double Up Respin,96.04,96.04
Rocket Stars,96.04,96.04
Candy Jar Clusters,96.04,96.08
6 Mega Juicer,96.04,96.04
Rise of Horus,96.04,96.04
Jurassic Giants,96.03,96.03
Mega Greatest Catch,96.03,96.03
Law of Gilgamesh,96.03,96.03
Mega Fruit 100,96.03,96.03
Fruit Fantasy Hold \u0026 Win,96.03,96.03
Outlaws,96.03,96.03
Vikings Creed,96.03,96.03
PopNoir,96.03,96.03
Wild Bison Charge,96.03,96.04
Tyrant's Fall,96.03,96.03
Bull's Club,96.02,96.02
Triple Chilli,96.02,96.02
Lucky Porker,96.01,96.01
Wolf Bonanza,96.01,96.01
5 Wild Buffalo,96.01,96.01
Wolf Gold,96.01,96.01
Hot Volcano,96.01,96.01
Inner Fire,96.01,96.01
Lucky New Year,96.00,96.00
Beellionaires,96.00,96.00
Hot Rod Racers,96.00,96.00
Dragon Pearls,96.00,96.00
Scarab Boost,96.00,96.00
24 Stars Dream,96.00,96.00
Money Cart 3,96.00,96.00
Aztec Magic Bonanza,96.00,96.00
Candy Dreams: Sweet Planet,96.00,96.08
Alien Fruits,96.00,96.00
Money Mouse,96.00,96.00
Money Cart 4,96.00,96.00
Joker Queen,96.00,96.00
Gold Gold Gold,96.00,96.00
Gold of Minos,96.00,96.00
Reef Pop,96.00,96.00
Forest Dreams,96.00,96.00
Fortuna Gold,96.00,96.00
Wild Coin,96.00,96.00
B-Ball Blitz,96.00,96.00
King Tut's Tomb,96.00,96.00
21 Thor Lightning Ways,96.00,96.00
Fluffy Rangers,96.00,96.00
Alaskan River Riches,96.00,96.00
Mega Diamonds Hunt,96.00,96.00
Carnival Bonanza,96.00,96.00
Howling Wolves Megaways,96.00,96.00
Wolf Power Megaways,96.00,96.00
Cosmic Rush,96.00,96.00
Wild Bullets,96.00,96.00
Spirit Hunters,96.00,96.00
Cursed Castle,96.00,96.00
Massive Luck,96.00,96.00
Joker Queen,96.00,96.00
Venice Festival,96.00,96.00
Bone Bonanza,96.00,96.00
3 Dancing Monkeys,96.00,96.00
Coin Forge,96.00,96.00
Fox Tale,96.00,96.00
Lucky Farm Bonanza,96.00,96.00
Fortune Llama,96.00,96.00
Moosey Money,96.00,96.00
Hottest 666,96.00,96.00
Fruit Heaven Hold and Win,96.00,96.00
Chicago,96.00,96.00
Wins of Mermaid Multi Power,96.00,96.00
Ocean Catch,96.00,96.00
Belfry Bliss,96.00,96.00
Gold Gold Gold 5000,96.00,96.00
Looney Pop,96.00,96.00
Unlimited Wishes,95.99,95.99
7 Piggies,95.99,95.99
Pyro Joker,95.99,95.99
Coin Forge Magnetic,95.99,95.99
Juicy Triple Bonus,95.98,95.98
Penny Pelican,95.98,95.98
Poseidon,95.98,95.98
Candy Luck,95.98,95.98
Wild Double Up,95.97,95.97
Fury of Odin Megaways,95.97,96.02
Giza Nights: Hold and Win,95.96,95.96
Thunder Mega Sevens,95.96,95.96
CherryPop Deluxe,95.96,95.96
Electric Elements,95.96,95.96
Wonder Farm,95.95,95.95
Pearl Ocean: Hold and Win,95.95,95.95
Wonder Farm,95.95,95.95
Jelly Valley,95.95,95.95
Dragon Balls,95.95,96.10
Ultra Hot Sevens,95.94,95.94
The Dead Escape,95.92,98.00
Immortal Treasures,95.90,95.90
Lucky Oasis,95.90,95.90
Candy Craze,95.89,95.89
5 Super 7s and Fruits,95.89,95.89
Pink Joker: Hold and Win,95.87,95.87
Tiger Jungle,95.86,95.86
Piggy Gold,95.86,95.86
3 Coins,95.84,95.84
Halloween Bonanza,95.84,95.84
3 Coins: Egypt,95.82,95.82
Temple of Thunder 2 Hold and Win,95.82,95.82
Temple of Thunder II,95.82,95.82
Aztec Pyramid,95.82,95.82
Power of Thor Megaways,95.81,95.81
Spin \u0026 Score Megaways,95.81,96.55
Ultra Coin Magnetic,95.81,95.81
Elysium Vip,95.81,95.81
Bang Bang Reloaded,95.80,95.80
Eggs of Gold,95.80,95.80
Spin and Spell,95.80,95.80
Dog Heist Shift and Win,95.80,95.80
Miss Rainbow: Hold and Win,95.80,95.80
MegaWays Jack,95.79,96.20
Banana Splash,95.79,95.79
Lotus Charm,95.78,95.78
Magic Apple,95.78,95.78
Supercharged Clovers Hold \u0026 Win,95.78,95.78
Sword King,95.78,95.78
Queen of the Sun,95.77,95.77
888 Dragons,95.76,95.76
Book of Sun - Choice,95.76,97.74
Luxor Gold: Hold and Win,95.76,95.76
3 Pots Riches Hold And Win,95.76,95.76
Empire Gold: Hold and Win,95.76,95.76
3 Pots Riches Extra: Hold and Win,95.76,95.76
3 Magic Lamps: Hold and Win,95.76,95.76
3 Carts of Gold: Hold and Win,95.76,95.76
3 Pirate Barrels,95.76,95.76
777 Coins Hold and Win,95.75,95.75
Coin UP: Hot Fire,95.75,95.75
Wild Bull Megaways,95.75,95.75
Energy Coins Hold And Win,95.74,95.74
Slingo Deadliest Catch,95.74,95.74
Sunny Fruits 2: Hold and Win,95.74,95.74
Power Crown Hold and Win,95.74,95.74
Energy Joker: Hold and Win,95.74,95.74
3 Clover Pots,95.74,95.74
Book of Sun Multichance,95.72,95.72
Sky Pearls,95.72,95.72
Raging Zeus,95.72,95.72
15 Dragon Pearls,95.71,95.71
Grab the Gold,95.71,95.71
Joker's Coins Hold and Win,95.71,95.71
3 Egypt Chests,95.71,95.71
Wukong,95.70,95.70
Trawler Fishin,95.70,95.70
Wild West Buffalo Blast,95.70,95.70
Serpent Gold Coins,95.70,95.70
Crack The Bank Hold and Win,95.70,95.70
Grab More Gold!,95.70,95.70
Fire Temple Hold and Win ,95.70,95.70
Boogie Boom,95.70,95.80
Space Sam Walk and Win,95.70,95.70
Eye of Gold,95.69,95.69
Rio Gems,95.69,95.69
Wolf Night,95.69,95.69
Little Farm,95.69,95.69
African Spirit,95.69,95.69
Storm of Olympus Hit the Bonus 3x3,95.68,95.68
Arriba Heat Megaways,95.68,95.68
Return of the Dead,95.67,96.71
Coin up Lightning,95.67,95.67
Forest Spirit,95.67,95.67
Wolf Land: Hold and Win,95.66,95.66
Pirate Chest: Hold and Win,95.66,95.66
Thunder Coins Hold and Win,95.66,95.66
Coin Strike: Hold and Win,95.66,95.66
Coin Volcano,95.66,95.66
Xtra Hot,95.66,95.66
Rave Up,95.66,95.66
Diamonds Power Hold and Win,95.66,95.66
Hit the Gold Hold and Win,95.66,95.66
Clover Charm: Hit the Bonus,95.66,95.66
Book of Wizard: Crystal Chance,95.65,95.65
Green Chilli,95.65,95.65
Pearl Diver 2: Treasure Chest,95.65,95.65
Royal Fortunator: Hold and Win,95.64,95.64
Sun of Egypt 2,95.64,95.64
Royal Coins: Hold and Win,95.64,95.64
Royal Coins 2: Hold and Win,95.64,95.64
5 Lions Gold,95.64,95.64
Crown And Diamonds Hold And Win,95.64,95.64
Fire Coins: Hold and Win,95.64,95.64
Sky Coins,95.64,95.64
Gold Express,95.64,96.00
Lucky Penny,95.64,95.64
Book of Wizard,95.63,95.63
Hot To Burn Extreme,95.63,96.65
Royal Joker: Hold and Win,95.62,95.62
Golden Teapot,95.62,95.62
Yo Ho Gold,95.62,95.62
Sun of Egypt 3,95.61,95.61
Dragon Wealth,95.61,95.61
Boom! Boom! Gold!,95.61,95.61
Pearl Diver,95.60,95.60
Diamond Fortunator Hold and Win,95.60,95.60
Legendary Diamonds,95.60,95.60
Green Chilli 2,95.60,95.60
Lamp Of Wonder,95.60,95.60
Smoking Pistols,95.60,95.60
Jam Bonanza,95.60,95.60
Space Cows to the Moon,95.60,95.60
Crystal Scarabs Hold and Win,95.60,95.60
Payday Pig,95.60,95.60
Classic Coins,95.60,95.60
Chief Hawks Spirit Walk,95.60,95.60
Power of Rome,95.60,95.60
Arizona Heist: Hold and Win,95.60,95.60
Lion Coins,95.59,95.59
3 Hot Chillies,95.59,95.59
Cosmic Cash,95.58,96.55
Gold Nuggets,95.58,95.58
Magic Ball Multichance,95.58,95.58
More Magic Apple,95.57,95.57
Tiger Gems,95.57,95.57
Mustang Gold Megaways,95.56,95.56
Snakes and Ladders Megadice,95.55,96.68
Ruby Hit: Hold and Win,95.55,95.55
Lion Gems: Hold and Win,95.55,95.55
Ultra Fortunator,95.55,95.55
Octobeer Fortunes,95.54,96.53
Black Wolf,95.54,95.54
Big Heist,95.54,95.54
Black Wolf 2,95.54,95.54
Aztec Fire 2,95.54,95.54
The Wild Machine,95.53,95.53
Caishen Wealth,95.53,95.53
Magic Apple 2,95.53,95.53
Sharky,95.53,95.53
Candy Blitz Bombs,95.53,96.54
Candy Boom,95.52,95.52
Diamond Wins Hold and Win,95.52,95.52
Sunlight Princess,95.52,95.52
Wild Depths,95.51,96.48
The Dog House,95.51,96.51
Fortune of Giza,95.51,96.51
Triple Jokers,95.51,96.47
Super Joker,95.51,95.51
5 Lions,95.51,95.51
Slingo Berserk,95.51,95.51
John Hunter and the Tomb of the Scarab Queen,95.50,96.50
Bounty Gold,95.50,96.50
Aztec Fire,95.50,95.50
Sticky Piggy,95.50,95.50
Super Rich God,95.50,95.50
Bomb Bonanza,95.50,96.46
Caishen's Cash,95.50,96.50
Drago - Jewels of Fortune,95.50,96.50
Egypt Fire,95.50,95.50
Secrets Of Anubis,95.50,95.50
The Great Chicken Escape,95.50,95.50
The Magic Cauldron,95.50,96.44
Lucy Luck and the Crimson Diamond,95.50,95.50
Buffalo Hold and Win Extreme,95.50,95.50
Fortune Tycoons,95.50,95.50
Triple Dragons,95.50,96.51
Ronaldinho Spins,95.50,95.50
Maya Sun,95.50,95.50
Olaf Viking,95.50,95.50
Crystal Land 2,95.50,95.50
Jester's Riches,95.50,95.50
Hoop Kings,95.50,95.50
Ultimate Hold 'N' Win,95.50,95.50
Diamond Hits,95.50,95.50
Lord Fortune 2,95.49,95.49
Mighty Gorilla,95.49,95.49
Lightning Clovers - Hit the Bonus,95.49,95.49
Great Rhino,95.48,95.48
