Game,Min RTP %,Max RTP %
Scarab Boost,96.00,96.00
Penny Pelican,95.98,95.98
The Greatest Catch Bonus Buy,95.98,95.98
Giza Nights: Hold and Win,95.96,95.96
Thunder Mega Sevens,95.96,95.96
Jelly Valley,95.95,95.95
Pearl Ocean: Hold and Win,95.95,95.95
Buffalo Hold and Win,95.91,95.91
Lucky Oasis,95.90,95.90
Tiger Jungle,95.86,95.86
3 Coins,95.84,95.84
Legend of Cleopatra Megaways,95.84,95.84
3 Coins: Egypt,95.82,95.82
Aztec Pyramid,95.82,95.82
Temple Of Thunder II Bonus Buy,95.82,95.82
Bang Bang Reloaded,95.80,95.80
Eggs of Gold,95.80,95.80
Dog Heist Shift â€˜nâ€™ Win,95.80,95.80
Spin And Spell,95.80,95.80
Magic Apple,95.78,95.78
Tiger Stone,95.78,95.78
Lotus Charm,95.78,95.78
Queen of the Sun,95.77,95.77
3 Magic Lamps: Hold and Win,95.76,95.76
3 Pots Riches Extra: Hold and Win,95.76,95.76
3 Pots Riches: Hold and Win,95.76,95.76
Book of Sun - Choice,95.76,97.74
Empire Gold: Hold and Win,95.76,95.76
Luxor Gold: Hold and Win,95.76,95.76
Coin UP: Hot Fire,95.75,95.75
3 Clover Pots,95.74,95.74
Energy Coins: Hold and Win,95.74,95.74
Energy Joker: Hold and Win,95.74,95.74
Power Crown: Hold and Win,95.74,95.74
Sunny Fruits 2: Hold and Win,95.74,95.74
Book of Sun Multichance,95.72,95.72
Sky Pearls,95.72,95.72
15 Dragon Pearls,95.71,95.71
3 Egypt Chests,95.71,95.71
Grab the Gold!,95.71,95.71
Fire Temple: Hold and Win,95.70,95.70
Grab more Gold!,95.70,95.70
Wukong,95.70,95.70
African Spirit Sticky Wilds,95.69,95.69
Eye of Gold,95.69,95.69
Little Farm,95.69,95.69
Rio Gems,95.69,95.69
Wolf Night,95.69,95.69
Forest Spirit,95.67,95.67
Clover Charm: Hit the Bonus,95.66,95.66
Coin Volcano,95.66,95.66
Diamonds Power: Hold and Win,95.66,95.66
Coin Strike: Hold and Win,95.66,95.66
Hit the Gold!,95.66,95.66
Wolf Land: Hold and Win,95.66,95.66
Book of Wizard: Crystal Chance,95.65,95.65
Green Chilli,95.65,95.65
Pearl Diver 2: Treasure Chest,95.65,95.65
Crown and Diamonds: Hold and Win,95.64,95.64
Fire Coins: Hold and Win,95.64,95.64
Gold Express,95.64,96.00
Royal Coins 2: Hold and Win,95.64,95.64
Royal Fortunator: Hold and Win,95.64,95.64
Sun of Egypt 2,95.64,95.64
Royal Coins: Hold and Win,95.64,95.64
Book of Wizard,95.63,95.63
Yo-Ho Gold!,95.62,95.62
Boom! Boom! Gold!,95.61,95.61
Dragon Wealth,95.61,95.61
Sun of Egypt 3,95.61,95.61
Arizona Heist: Hold and Win,95.60,95.60
Crystal Scarabs,95.60,95.60
Green Chilli 2,95.60,95.60
Jam Bonanza,95.60,95.60
Lamp of Wonder,95.60,95.60
Legendary Diamonds,95.60,95.60
Diamond Fortunator Hold and Win,95.60,95.60
Payday Pig,95.60,95.60
Pearl Diver,95.60,95.60
Power of Rome,95.60,95.60
Smoking Pistols,95.60,95.60
Space Cows to the Moon,95.60,95.60
3 Hot Chillies,95.59,95.59
Lion Coins,95.59,95.59
Gold Nuggets,95.58,95.58
Magic Ball Multichance,95.58,95.58
More Magic Apple,95.57,95.57
Tiger Gems,95.57,95.57
Ruby Hit: Hold and Win,95.55,95.55
Lion Gems: Hold and Win,95.55,95.55
Aztec Fire 2,95.54,95.54
Big Heist,95.54,95.54
Black Wolf,95.54,95.54
Black Wolf 2,95.54,95.54
Caishen Wealth,95.53,95.53
Magic Apple 2,95.53,95.53
Candy Boom,95.52,95.52
Diamond Wins Hold and Win,95.52,95.52
Sunlight Princess,95.52,95.52
Aztec Fire,95.50,95.50
Crystal Land 2,95.50,95.50
Egypt Fire,95.50,95.50
Fortune Tycoons,95.50,95.50
Hoop Kings,95.50,95.50
Jesters Riches,95.50,95.50
Lucy Luck and the Crimson Diamond,95.50,95.50
Maya Sun,95.50,95.50
Olaf Viking,95.50,95.50
Secrets of Anubis,95.50,95.50
Sticky Piggy,95.50,95.50
Super Rich God,95.50,95.50
Lord Fortune 2,95.49,95.49
Mighty Gorilla,95.49,95.49
Flaming Chillies,95.48,95.48
Mice & Magic Wonder Spin,95.48,96.93
Sweet Spotz,95.48,95.48
Sun of Egypt 4 Hold & Win,95.47,95.47
Buffalo Power 2: Hold and Win,95.44,95.44
Mechanical Clover,95.42,95.42
Secret Book of Amun Ra,95.40,95.40
The Chillies,95.40,95.40
The Wild Wings of Phoenix,95.40,95.40
Aztec Sun,95.33,95.33
Scarab Riches,95.30,95.30
God Of Wealth:Hold And Win,95.24,95.58
Hit the Bank Hold and Win,95.21,95.21
Billy Bob Boom,95.20,95.20
Golden Scrolls,95.20,95.20
Great Panda,95.20,95.20
Let it Spin,95.20,95.20
Lucky Lady's Charm Deluxe,95.13,95.13
Cash Pig,95.11,95.11
Fortune n Finery,95.10,95.10
Mammoth Peak: Hold and Win,95.10,95.10
Tiger's Gold,95.10,95.10
Eagle Power: Hold and Win,95.06,95.06
Buffalo Power Christmas,95.04,95.04
Buffalo Power Hold & Win,95.04,95.04
Wolf Power: Hold and Win,95.04,95.04
Avalon: The Lost Kingdom,95.00,95.00
Buddha Fortune,95.00,95.67
Deep Descent,95.00,95.00
Moon Sisters,95.00,95.00
Olympian Gods,95.00,95.00
Scarab Temple,95.00,95.00
Sun of Egypt,95.00,95.00
Super Marble,95.00,95.00
Aloha King Elvis,94.92,94.92
Temple Tumble 2,94.80,94.80
Volatile Vikings 2,94.80,94.80
Lucky Otter,94.65,94.65
Diamonds,94.45,94.45
Coin Quest,94.36,96.12
Drunken Sailors,94.30,96.14
Gemhalla,94.14,97.17
Elvis Frog In Vegas,94.00,96.00
Four Lucky Diamonds,94.00,94.00
Grim the Splitter,94.00,94.00
Line Busters,94.00,94.00
Sweetopia Royale,94.00,96.10
Cowabunga,93.99,93.99
Hellcatraz 2,93.99,93.99
Fire Lightning,93.90,93.90
Sherwood Coins: Hold and Win,93.00,93.00
Book of Ra,92.13,92.13
Wealth Inn,92.08,97.97
ZEUS,91.95,91.95
Lure of Fortune,91.39,96.10
Money Train 4,90.00,96.10
Slot Machine,90.00,90.00
Aztec Clusters,89.00,97.00
Seven Seven Pots and Pearls,85.38,85.38
Lady Fortune,84.20,84.20
Templar Tumble 2,82.00,94.00
Beelionaires,0.00,0.00
Goddess of Egypt,0.00,0.00
